Time Scale; Number of Packets; Total data (b); 
1.000000; 2277; 1714673; 
2.000000; 2293; 1731970; 
3.000000; 2516; 1889024; 
4.000000; 1996; 1498450; 
5.000000; 2934; 2195312; 
6.000000; 2693; 2009708; 
7.000000; 2442; 1829303; 
8.000000; 2758; 2054073; 
9.000000; 2784; 2097727; 
10.000000; 2101; 1577616; 
11.000000; 2724; 2032125; 
12.000000; 2578; 1933687; 
13.000000; 2997; 2246769; 
14.000000; 2389; 1790715; 
15.000000; 2761; 2069596; 
16.000000; 2759; 2070633; 
17.000000; 2720; 2049170; 
18.000000; 2539; 1901104; 
19.000000; 1905; 1432929; 
20.000000; 1986; 1491138; 
21.000000; 2562; 1927151; 
22.000000; 2446; 1828835; 
23.000000; 2042; 1538640; 
24.000000; 2721; 2036579; 
25.000000; 2783; 2079279; 
26.000000; 2541; 1911566; 
27.000000; 2528; 1900350; 
28.000000; 2031; 1534033; 
29.000000; 2968; 2217599; 
30.000000; 2991; 2252118; 
31.000000; 1840; 1375584; 
32.000000; 2426; 1812619; 
33.000000; 2380; 1780606; 
34.000000; 2580; 1931929; 
35.000000; 2099; 1571329; 
36.000000; 2485; 1858163; 
37.000000; 2766; 2066587; 
38.000000; 1968; 1470847; 
39.000000; 2454; 1841966; 
40.000000; 2730; 2040165; 
41.000000; 2666; 2000625; 
42.000000; 2909; 2176199; 
43.000000; 1844; 1385711; 
44.000000; 2761; 2066413; 
45.000000; 2585; 1959702; 
46.000000; 1827; 1371859; 
47.000000; 2713; 2026331; 
48.000000; 2476; 1847339; 
49.000000; 2060; 1546714; 
50.000000; 2051; 1527859; 
51.000000; 2519; 1893527; 
52.000000; 2075; 1551528; 
53.000000; 2000; 1500741; 
54.000000; 2374; 1785558; 
55.000000; 2966; 2234790; 
56.000000; 2542; 1914410; 
57.000000; 2873; 2158729; 
58.000000; 2290; 1704475; 
59.000000; 2434; 1811843; 
60.000000; 2367; 1777969; 
61.000000; 2816; 2123024; 
62.000000; 2707; 2018146; 
63.000000; 2870; 2163352; 
64.000000; 2350; 1758125; 
65.000000; 2398; 1810068; 
66.000000; 2784; 2078983; 
67.000000; 1823; 1375510; 
68.000000; 2145; 1616915; 
69.000000; 2900; 2175006; 
70.000000; 2806; 2099097; 
71.000000; 2444; 1832603; 
72.000000; 2856; 2138334; 
73.000000; 2850; 2131337; 
74.000000; 2741; 2052634; 
75.000000; 2439; 1841597; 
76.000000; 2213; 1659092; 
77.000000; 2058; 1537201; 
78.000000; 2062; 1541273; 
79.000000; 2300; 1728484; 
80.000000; 2281; 1701582; 
81.000000; 2396; 1790783; 
82.000000; 2276; 1710161; 
83.000000; 2371; 1774271; 
84.000000; 2946; 2205877; 
85.000000; 2874; 2162250; 
86.000000; 2321; 1738903; 
87.000000; 1882; 1411373; 
88.000000; 2897; 2167516; 
89.000000; 2228; 1654127; 
90.000000; 1949; 1457612; 
91.000000; 2990; 2230189; 
92.000000; 2593; 1930194; 
93.000000; 2974; 2237955; 
94.000000; 2242; 1675957; 
95.000000; 1962; 1477201; 
96.000000; 1977; 1484951; 
97.000000; 1849; 1394871; 
98.000000; 2037; 1528817; 
99.000000; 2537; 1904950; 
100.000000; 2873; 2162444; 
101.000000; 1897; 1418104; 
102.000000; 2271; 1697678; 
103.000000; 2468; 1854362; 
104.000000; 2568; 1937028; 
105.000000; 2989; 2241030; 
106.000000; 2651; 1981869; 
107.000000; 2394; 1784144; 
108.000000; 2873; 2164440; 
109.000000; 2543; 1908098; 
110.000000; 2015; 1503902; 
111.000000; 2465; 1854361; 
112.000000; 2907; 2183027; 
113.000000; 2243; 1678313; 
114.000000; 2881; 2153807; 
115.000000; 2218; 1663922; 
116.000000; 2676; 2012348; 
117.000000; 2455; 1842107; 
118.000000; 2175; 1635793; 
119.000000; 2720; 2041450; 
120.000000; 2715; 2031069; 
121.000000; 2305; 1733981; 
122.000000; 2943; 2207909; 
123.000000; 2709; 2033164; 
124.000000; 1872; 1404473; 
125.000000; 2605; 1952252; 
126.000000; 2288; 1722216; 
127.000000; 2169; 1634611; 
128.000000; 1998; 1492206; 
129.000000; 2670; 1998554; 
130.000000; 2136; 1588708; 
131.000000; 2524; 1909862; 
132.000000; 2108; 1576418; 
133.000000; 2018; 1515538; 
134.000000; 2184; 1645092; 
135.000000; 2975; 2224797; 
136.000000; 2370; 1772925; 
137.000000; 2326; 1735634; 
138.000000; 2596; 1939193; 
139.000000; 2063; 1540644; 
140.000000; 2572; 1927666; 
141.000000; 2569; 1930424; 
142.000000; 1925; 1438881; 
143.000000; 1836; 1370155; 
144.000000; 2845; 2122936; 
145.000000; 2396; 1801471; 
146.000000; 2557; 1915886; 
147.000000; 2154; 1602904; 
148.000000; 2002; 1498953; 
149.000000; 2538; 1897883; 
150.000000; 1861; 1394006; 
151.000000; 1926; 1442341; 
152.000000; 2262; 1702003; 
153.000000; 2189; 1643098; 
154.000000; 2958; 2214731; 
155.000000; 2902; 2156113; 
156.000000; 2589; 1948002; 
157.000000; 2902; 2175399; 
158.000000; 2450; 1830764; 
159.000000; 2292; 1708680; 
160.000000; 2486; 1858133; 
161.000000; 2386; 1787060; 
162.000000; 2212; 1658136; 
163.000000; 2704; 2029724; 
164.000000; 1943; 1454449; 
165.000000; 2809; 2119259; 
166.000000; 1836; 1386510; 
167.000000; 2081; 1564746; 
168.000000; 2038; 1542629; 
169.000000; 2505; 1884556; 
170.000000; 2184; 1647840; 
171.000000; 1883; 1412243; 
172.000000; 2986; 2245069; 
173.000000; 2473; 1848388; 
174.000000; 2040; 1524779; 
175.000000; 2275; 1703870; 
176.000000; 1805; 1353170; 
177.000000; 2173; 1622148; 
178.000000; 2668; 1997665; 
179.000000; 1948; 1456406; 
180.000000; 2281; 1699182; 
181.000000; 2668; 1987638; 
182.000000; 2004; 1509906; 
183.000000; 1805; 1349675; 
184.000000; 2063; 1543464; 
185.000000; 2090; 1587221; 
186.000000; 2557; 1913682; 
187.000000; 1834; 1381029; 
188.000000; 2438; 1841090; 
189.000000; 2592; 1949691; 
190.000000; 2181; 1609292; 
191.000000; 2932; 2217851; 
192.000000; 2552; 1899403; 
193.000000; 2292; 1709879; 
194.000000; 2419; 1813792; 
195.000000; 2152; 1614846; 
196.000000; 2409; 1798961; 
197.000000; 2377; 1783996; 
198.000000; 2731; 2040382; 
199.000000; 2150; 1608892; 
200.000000; 2651; 1974807; 
201.000000; 2591; 1931923; 
202.000000; 2354; 1772765; 
203.000000; 2656; 1992183; 
204.000000; 2854; 2132123; 
205.000000; 2644; 1976639; 
206.000000; 2889; 2172721; 
207.000000; 2157; 1608554; 
208.000000; 2119; 1588643; 
209.000000; 1831; 1376952; 
210.000000; 2748; 2063952; 
211.000000; 2405; 1793557; 
212.000000; 2268; 1700286; 
213.000000; 2703; 2027780; 
214.000000; 2909; 2182375; 
215.000000; 2887; 2148905; 
216.000000; 1884; 1414147; 
217.000000; 2379; 1785685; 
218.000000; 2141; 1602279; 
219.000000; 2267; 1691796; 
220.000000; 2695; 2023171; 
221.000000; 2038; 1535364; 
222.000000; 2363; 1776417; 
223.000000; 2975; 2244826; 
224.000000; 1960; 1464342; 
225.000000; 2682; 1996331; 
226.000000; 2791; 2084168; 
227.000000; 1991; 1500490; 
228.000000; 2535; 1895138; 
229.000000; 1892; 1419826; 
230.000000; 1988; 1489229; 
231.000000; 2890; 2174221; 
232.000000; 2647; 1976640; 
233.000000; 2072; 1549122; 
234.000000; 2304; 1730451; 
235.000000; 2295; 1712348; 
236.000000; 1825; 1374594; 
237.000000; 2296; 1715751; 
238.000000; 2874; 2158252; 
239.000000; 2637; 1964465; 
240.000000; 2256; 1681416; 
241.000000; 2862; 2145421; 
242.000000; 2859; 2143781; 
243.000000; 2811; 2105287; 
244.000000; 1816; 1353800; 
245.000000; 2104; 1583203; 
246.000000; 2274; 1709791; 
247.000000; 1986; 1486200; 
248.000000; 2309; 1726948; 
249.000000; 1951; 1457238; 
250.000000; 2287; 1708621; 
251.000000; 2180; 1634923; 
252.000000; 2105; 1568148; 
253.000000; 2871; 2150740; 
254.000000; 2085; 1563418; 
255.000000; 1955; 1473951; 
256.000000; 2423; 1807894; 
257.000000; 1991; 1490393; 
258.000000; 2236; 1678893; 
259.000000; 1864; 1395633; 
260.000000; 2876; 2145603; 
261.000000; 2636; 1968472; 
262.000000; 2400; 1795914; 
263.000000; 2296; 1709960; 
264.000000; 2595; 1945728; 
265.000000; 2874; 2157425; 
266.000000; 2483; 1870096; 
267.000000; 2638; 1965303; 
268.000000; 2488; 1859390; 
269.000000; 2261; 1689929; 
270.000000; 2793; 2088970; 
271.000000; 2829; 2117830; 
272.000000; 2402; 1802442; 
273.000000; 2874; 2160583; 
274.000000; 1983; 1486973; 
275.000000; 2687; 2014744; 
276.000000; 2607; 1968961; 
277.000000; 2073; 1562037; 
278.000000; 2138; 1619927; 
279.000000; 2426; 1805966; 
280.000000; 2491; 1862792; 
281.000000; 2546; 1917678; 
282.000000; 2248; 1682908; 
283.000000; 2458; 1848067; 
284.000000; 2597; 1943553; 
285.000000; 2113; 1586575; 
286.000000; 2432; 1808939; 
287.000000; 2004; 1507886; 
288.000000; 2802; 2094693; 
289.000000; 2894; 2163298; 
290.000000; 2379; 1784177; 
291.000000; 2820; 2121125; 
292.000000; 2349; 1761426; 
293.000000; 2634; 1978151; 
294.000000; 2007; 1501206; 
295.000000; 1800; 1350403; 
296.000000; 2634; 1974451; 
297.000000; 2482; 1852809; 
298.000000; 1912; 1428594; 
299.000000; 2930; 2205099; 
300.000000; 2405; 1801747; 
301.000000; 2642; 1976868; 
302.000000; 2537; 1911034; 
303.000000; 2486; 1852443; 
304.000000; 2787; 2088374; 
305.000000; 2616; 1946960; 
306.000000; 2506; 1890993; 
307.000000; 2437; 1816995; 
308.000000; 1837; 1364184; 
309.000000; 2571; 1910377; 
310.000000; 1896; 1420310; 
311.000000; 1986; 1496366; 
312.000000; 2619; 1971710; 
313.000000; 2672; 1997656; 
314.000000; 2753; 2064655; 
315.000000; 2301; 1730789; 
316.000000; 2006; 1514813; 
317.000000; 2378; 1788745; 
318.000000; 2760; 2082874; 
319.000000; 1853; 1378933; 
320.000000; 2396; 1787161; 
321.000000; 2120; 1577695; 
322.000000; 2539; 1910330; 
323.000000; 2936; 2197364; 
324.000000; 2416; 1806882; 
325.000000; 2041; 1524661; 
326.000000; 2453; 1845412; 
327.000000; 2874; 2174267; 
328.000000; 2032; 1523437; 
