Time Scale; Number of Packets; Total data; 
1; 5737909; 287593366.000000; 
2; 899878; 45101108.000000; 
3; 912107; 45729733.000000; 
4; 916999; 45968495.000000; 
5; 917888; 46006890.000000; 
6; 917291; 45986350.000000; 
7; 916110; 45915810.000000; 
8; 919854; 46097194.000000; 
9; 922868; 46257954.000000; 
10; 921840; 46210234.000000; 
11; 922698; 46236897.000000; 
12; 911444; 45669129.000000; 
13; 920680; 46143080.000000; 
14; 921604; 46224769.000000; 
15; 922752; 46248532.000000; 
16; 920884; 46153466.000000; 
17; 912485; 45729032.000000; 
18; 917222; 45982904.000000; 
19; 921634; 46200501.000000; 
20; 945442; 47408936.000000; 
21; 949841; 47612219.000000; 
22; 930783; 46644049.000000; 
23; 913140; 45775494.000000; 
24; 910677; 45631303.000000; 
25; 914921; 45840225.000000; 
26; 914471; 45839310.000000; 
27; 919702; 46093217.000000; 
28; 920248; 46129672.000000; 
29; 922206; 46221652.000000; 
30; 923511; 46276728.000000; 
31; 919830; 46104789.000000; 
32; 921329; 46176940.000000; 
33; 919753; 46106267.000000; 
34; 918189; 46024791.000000; 
35; 920263; 46113489.000000; 
36; 916782; 45958005.000000; 
37; 920752; 46143301.000000; 
38; 920307; 46117714.000000; 
39; 922840; 46255454.000000; 
40; 921040; 46150170.000000; 
41; 917982; 46013167.000000; 
42; 922208; 46216679.000000; 
43; 921292; 46165787.000000; 
44; 943597; 47304083.000000; 
45; 947945; 47521247.000000; 
46; 929462; 46578294.000000; 
47; 919469; 46069617.000000; 
48; 918938; 46063583.000000; 
49; 917648; 45987085.000000; 
50; 916008; 45912102.000000; 
51; 917214; 45966047.000000; 
52; 919001; 46060332.000000; 
53; 921566; 46192317.000000; 
54; 923802; 46299873.000000; 
55; 916601; 45936120.000000; 
56; 920907; 46150041.000000; 
57; 922518; 46243799.000000; 
58; 924083; 46302564.000000; 
59; 917873; 46017869.000000; 
60; 917539; 45997343.000000; 
61; 917114; 45963300.000000; 
62; 918517; 46016624.000000; 
63; 918970; 46060381.000000; 
64; 919812; 46104906.000000; 
65; 921445; 46182859.000000; 
66; 921260; 46183114.000000; 
67; 922586; 46241298.000000; 
68; 944591; 47347105.000000; 
69; 949726; 47586309.000000; 
70; 932870; 46768842.000000; 
71; 920616; 46144554.000000; 
72; 925232; 46360543.000000; 
73; 921244; 46171488.000000; 
74; 912553; 45744924.000000; 
75; 918729; 46059879.000000; 
76; 915944; 45921888.000000; 
77; 917820; 46007860.000000; 
78; 915941; 45914450.000000; 
79; 919247; 46069992.000000; 
80; 920416; 46149534.000000; 
81; 916591; 45936050.000000; 
82; 921155; 46175986.000000; 
83; 919082; 46053734.000000; 
84; 920875; 46147421.000000; 
85; 919434; 46087565.000000; 
86; 921543; 46184048.000000; 
87; 925498; 46397301.000000; 
88; 922871; 46274175.000000; 
89; 918303; 46046647.000000; 
90; 917062; 45950220.000000; 
91; 914749; 45834208.000000; 
