Time Scale; Number of Packets; Total data; 
1; 9754618; 487787835.000000; 
2; 95190; 4760065.000000; 
3; 95981; 4799615.000000; 
4; 95787; 4790215.000000; 
5; 96045; 4802900.000000; 
6; 95788; 4790165.000000; 
7; 96035; 4802115.000000; 
8; 95782; 4789715.000000; 
9; 96051; 4803250.000000; 
10; 95798; 4790365.000000; 
11; 96045; 4802665.000000; 
12; 95790; 4790115.000000; 
13; 96056; 4803350.000000; 
14; 95813; 4791015.000000; 
15; 95932; 4796865.000000; 
16; 95903; 4795565.000000; 
17; 95787; 4790015.000000; 
18; 96079; 4804550.000000; 
19; 95794; 4790415.000000; 
20; 96041; 4802615.000000; 
21; 95809; 4790765.000000; 
22; 96058; 4804100.000000; 
23; 95796; 4790115.000000; 
24; 96051; 4803315.000000; 
25; 95789; 4789965.000000; 
26; 96048; 4803200.000000; 
27; 95800; 4790415.000000; 
28; 96094; 4805065.000000; 
29; 95799; 4790415.000000; 
30; 95959; 4799165.000000; 
31; 95899; 4795000.000000; 
32; 95792; 4790265.000000; 
33; 95914; 4796565.000000; 
34; 95771; 4789265.000000; 
35; 96062; 4803650.000000; 
36; 95798; 4790465.000000; 
37; 96055; 4803065.000000; 
38; 95775; 4789365.000000; 
39; 96058; 4803150.000000; 
40; 95816; 4791865.000000; 
41; 96059; 4803465.000000; 
42; 95793; 4789965.000000; 
43; 96045; 4802800.000000; 
44; 95793; 4790515.000000; 
45; 95950; 4798165.000000; 
46; 95881; 4794415.000000; 
47; 95797; 4790250.000000; 
48; 96063; 4804015.000000; 
49; 95790; 4790215.000000; 
50; 96059; 4803265.000000; 
51; 95786; 4790150.000000; 
52; 96055; 4803065.000000; 
53; 95807; 4790965.000000; 
54; 96042; 4802765.000000; 
55; 95807; 4790965.000000; 
56; 96050; 4803250.000000; 
57; 95794; 4790015.000000; 
58; 96051; 4803315.000000; 
59; 95802; 4790365.000000; 
60; 95957; 4798600.000000; 
61; 95886; 4794515.000000; 
62; 95782; 4789315.000000; 
63; 95966; 4799115.000000; 
64; 95793; 4790250.000000; 
65; 96035; 4802265.000000; 
66; 95797; 4790165.000000; 
67; 96079; 4804415.000000; 
68; 191883; 4790600.000000; 
69; 96063; 4803665.000000; 
70; 95801; 4790815.000000; 
71; 96045; 4802915.000000; 
72; 95797; 4790615.000000; 
73; 96069; 4803750.000000; 
74; 95788; 4789915.000000; 
75; 95959; 4798765.000000; 
76; 95903; 4795315.000000; 
77; 95783; 4789850.000000; 
78; 96067; 4804065.000000; 
79; 95792; 4790065.000000; 
80; 96061; 4803665.000000; 
81; 95813; 4790900.000000; 
82; 96055; 4803165.000000; 
83; 95804; 4790265.000000; 
84; 96056; 4803665.000000; 
85; 95799; 4790350.000000; 
86; 96055; 4802915.000000; 
87; 95790; 4790215.000000; 
88; 96125; 4806665.000000; 
89; 95799; 4790400.000000; 
90; 95962; 4799065.000000; 
91; 95878; 4794315.000000; 
92; 95802; 4790565.000000; 
93; 95951; 4798050.000000; 
94; 95773; 4789215.000000; 
95; 96065; 4803565.000000; 
96; 191865; 4790415.000000; 
97; 96036; 4802300.000000; 
98; 95788; 4790015.000000; 
99; 96057; 4803615.000000; 
100; 95776; 4789065.000000; 
101; 96049; 4803065.000000; 
102; 95781; 4789700.000000; 
103; 96043; 4802565.000000; 
104; 95786; 4789665.000000; 
105; 95913; 4796465.000000; 
106; 96209; 4810850.000000; 
107; 96113; 4806115.000000; 
108; 96071; 4804215.000000; 
109; 95796; 4790415.000000; 
110; 96047; 4802800.000000; 
111; 95783; 4789915.000000; 
112; 96063; 4803765.000000; 
113; 95806; 4790415.000000; 
114; 96059; 4803765.000000; 
115; 95794; 4790250.000000; 
116; 96059; 4803165.000000; 
117; 95801; 4790815.000000; 
118; 96060; 4803315.000000; 
119; 95802; 4790800.000000; 
120; 95914; 4796165.000000; 
121; 95931; 4796865.000000; 
122; 95808; 4790965.000000; 
123; 96158; 4808550.000000; 
124; 96126; 4806765.000000; 
125; 96101; 4805415.000000; 
126; 95791; 4790015.000000; 
127; 96053; 4803415.000000; 
128; 95790; 4790900.000000; 
129; 96050; 4803015.000000; 
130; 95800; 4790165.000000; 
131; 96056; 4803165.000000; 
132; 95800; 4790400.000000; 
133; 96045; 4802915.000000; 
134; 95806; 4790515.000000; 
135; 95923; 4796815.000000; 
136; 95917; 4796250.000000; 
137; 95791; 4790265.000000; 
138; 96057; 4803315.000000; 
139; 95802; 4790815.000000; 
140; 95975; 4799065.000000; 
141; 95806; 4790900.000000; 
142; 96040; 4802565.000000; 
143; 95797; 4790365.000000; 
144; 96051; 4803215.000000; 
145; 95793; 4790150.000000; 
