Time Scale; Number of Packets; Total data; 
1; 959087; 48099778.000000; 
2; 2246391; 112585612.000000; 
3; 2400995; 120251732.000000; 
4; 2658937; 133103628.000000; 
5; 2644594; 132396754.000000; 
6; 2532690; 126785256.000000; 
7; 2509372; 125605199.000000; 
8; 2429647; 121618878.000000; 
9; 2410746; 120695815.000000; 
10; 2286897; 114543817.000000; 
11; 2267641; 113600857.000000; 
12; 2208494; 110623271.000000; 
13; 2249456; 112675863.000000; 
14; 2213829; 110888870.000000; 
15; 2252893; 112846209.000000; 
16; 2237190; 112077444.000000; 
17; 4455278; 111099824.000000; 
18; 2254889; 112945399.000000; 
19; 2207608; 110577234.000000; 
20; 2253636; 112883732.000000; 
21; 2220596; 111241705.000000; 
22; 2253965; 112899464.000000; 
23; 2226997; 111537103.000000; 
24; 2269410; 113671232.000000; 
25; 2205190; 110456186.000000; 
26; 4469107; 113389354.000000; 
27; 2224426; 111422142.000000; 
28; 2241980; 112305139.000000; 
29; 2257175; 113060110.000000; 
30; 2207902; 110592449.000000; 
31; 2251052; 112769460.000000; 
32; 2208466; 110626066.000000; 
33; 4457360; 112649895.000000; 
34; 2211996; 110803503.000000; 
35; 2248898; 112646882.000000; 
36; 2204196; 110428417.000000; 
37; 2255041; 112956473.000000; 
38; 2210276; 110721696.000000; 
39; 2254458; 112925990.000000; 
40; 2260471; 113221914.000000; 
41; 2209965; 110694435.000000; 
42; 2268168; 113632279.000000; 
43; 2217949; 111100927.000000; 
44; 2251828; 112794671.000000; 
45; 2228204; 111603380.000000; 
46; 2257530; 113076203.000000; 
47; 4472886; 110960265.000000; 
48; 2261854; 113296851.000000; 
49; 2208256; 110608981.000000; 
50; 2241983; 112301834.000000; 
51; 2240004; 112199293.000000; 
52; 2232116; 111823178.000000; 
53; 2250787; 112739761.000000; 
54; 2207375; 110562993.000000; 
55; 2251657; 112787821.000000; 
56; 2230905; 111743082.000000; 
57; 2267418; 113590876.000000; 
58; 2208090; 110602825.000000; 
59; 2257675; 113086732.000000; 
60; 2207126; 110553880.000000; 
61; 2256438; 113021637.000000; 
62; 2235230; 111970138.000000; 
63; 2230830; 111740467.000000; 
64; 2254239; 112914903.000000; 
65; 2226503; 111515550.000000; 
66; 2256143; 113009261.000000; 
67; 2219549; 111196497.000000; 
68; 2247025; 112550716.000000; 
69; 2207236; 110562496.000000; 
70; 2258978; 113151171.000000; 
71; 2211015; 110746683.000000; 
72; 2258952; 113171703.000000; 
73; 2208683; 110628287.000000; 
74; 2258242; 113113189.000000; 
75; 2252675; 112835842.000000; 
76; 2203663; 110378792.000000; 
77; 2252452; 112822241.000000; 
78; 2213162; 110872293.000000; 
79; 2259438; 113175335.000000; 
80; 2214658; 110931171.000000; 
81; 2265960; 113496352.000000; 
82; 2201950; 110295538.000000; 
83; 2249218; 112665328.000000; 
84; 2208235; 110613634.000000; 
85; 2273854; 113893186.000000; 
86; 2237194; 112057301.000000; 
87; 2223028; 111349512.000000; 
88; 2258262; 113115300.000000; 
89; 2219090; 111163687.000000; 
90; 2257568; 113082727.000000; 
91; 2219029; 111148044.000000; 
92; 2257899; 113095993.000000; 
93; 2217583; 111077978.000000; 
94; 2277882; 114101315.000000; 
95; 2211127; 110754662.000000; 
96; 4461828; 112734447.000000; 
97; 2234274; 111907478.000000; 
98; 2234747; 111937365.000000; 
99; 2251565; 112780331.000000; 
100; 2207283; 110559184.000000; 
101; 2252365; 112839032.000000; 
102; 2213817; 110894304.000000; 
103; 2252552; 112829710.000000; 
104; 2208457; 110618456.000000; 
105; 2245630; 112483414.000000; 
106; 2209816; 110689729.000000; 
107; 2251691; 112786142.000000; 
108; 2221339; 111263034.000000; 
109; 2247085; 112555780.000000; 
110; 2257927; 113099846.000000; 
111; 2203795; 110386043.000000; 
112; 2260566; 113247890.000000; 
113; 2219121; 111149310.000000; 
114; 2249045; 112655961.000000; 
115; 4469869; 111235455.000000; 
116; 2263613; 113377880.000000; 
117; 2216469; 111047842.000000; 
118; 4468405; 112796428.000000; 
119; 2219996; 111198570.000000; 
120; 2250703; 112736799.000000; 
121; 2246058; 112505798.000000; 
122; 2228965; 111661531.000000; 
123; 2250537; 112725240.000000; 
124; 2226771; 111537852.000000; 
125; 2244970; 112452126.000000; 
126; 2216507; 111021725.000000; 
127; 2258559; 113140001.000000; 
128; 2211623; 110780052.000000; 
129; 2249679; 112685499.000000; 
130; 2209959; 110704934.000000; 
131; 2257682; 113081846.000000; 
132; 2241202; 112280362.000000; 
133; 2226851; 111541802.000000; 
134; 2264142; 113411347.000000; 
135; 2201718; 110285480.000000; 
136; 4447373; 112482219.000000; 
137; 2211317; 110774111.000000; 
138; 2249729; 112688249.000000; 
139; 2210240; 110711075.000000; 
140; 2254503; 112925822.000000; 
141; 2208912; 110646308.000000; 
142; 2253475; 112894073.000000; 
143; 2220854; 111240443.000000; 
144; 2246175; 112508690.000000; 
145; 2237574; 112076545.000000; 
146; 2212847; 110841372.000000; 
147; 2248011; 112615842.000000; 
148; 2206043; 110498268.000000; 
149; 2251103; 112756515.000000; 
150; 2214001; 110897896.000000; 
151; 2256423; 113020591.000000; 
152; 2213893; 110909918.000000; 
153; 2255943; 112999515.000000; 
154; 2210699; 110728126.000000; 
155; 2253841; 112893936.000000; 
156; 2235013; 111955873.000000; 
157; 2223305; 111378641.000000; 
158; 2251999; 112799730.000000; 
159; 2212275; 110814759.000000; 
160; 2247760; 112591905.000000; 
161; 2206951; 110545961.000000; 
162; 2257274; 113087343.000000; 
163; 2208961; 110643355.000000; 
164; 2269310; 113662910.000000; 
165; 2202014; 110300996.000000; 
166; 2275178; 113962481.000000; 
167; 2219968; 111199218.000000; 
168; 2238549; 112130189.000000; 
169; 2250422; 112725477.000000; 
170; 2209052; 110649669.000000; 
171; 2250860; 112743600.000000; 
172; 2225636; 111486055.000000; 
173; 2253176; 112860220.000000; 
174; 2204268; 110409066.000000; 
175; 2254500; 112928416.000000; 
176; 2222106; 111328932.000000; 
177; 2255056; 112953478.000000; 
178; 4473468; 111119257.000000; 
179; 2254772; 112942726.000000; 
180; 2250784; 112745057.000000; 
181; 2211017; 110748319.000000; 
182; 2255438; 112969690.000000; 
183; 2221502; 111279805.000000; 
184; 2250967; 112743827.000000; 
185; 2203753; 110405703.000000; 
186; 2266156; 113522489.000000; 
187; 2208623; 110627500.000000; 
188; 2255036; 112956030.000000; 
189; 2216391; 111031982.000000; 
190; 2244696; 112455806.000000; 
191; 2233324; 111878536.000000; 
192; 2232764; 111840655.000000; 
193; 2256034; 113006116.000000; 
194; 2202410; 110317612.000000; 
195; 2254926; 112962961.000000; 
196; 2205528; 110476594.000000; 
197; 2248289; 112614513.000000; 
198; 2217535; 111074300.000000; 
199; 2235886; 111993607.000000; 
