Test Packet Size (MB),Predicted Packet Size (MB)
2.2092,1.8380356348849671
1.468858,1.802118247454242
1.780351,1.7973408635740329
1.90396,1.7865294747926705
1.583731,1.7659908513170524
2.041625,1.7990411718191401
2.221333,1.8248085283334419
2.017637,1.8088739445562
1.977482,1.8066845671827099
1.505181,1.7843344902785288
1.716037,1.7640236945214403
1.999655,1.7996321636552532
1.510982,1.8168668596794992
2.022425,1.8111970487253495
1.788334,1.8147901922643674
1.819897,1.7819348625491704
1.481762,1.7654647814868696
1.686878,1.7983235590871134
1.385267,1.808017553365648
1.915669,1.8152798214544017
1.943885,1.8201414281080708
1.819233,1.7803598128420375
1.403317,1.7697592121081613
1.483737,1.7946169875818017
1.680842,1.799776530099244
1.765734,1.8201187872618023
2.191268,1.8223364849331567
2.06091,1.7807932352111369
1.739568,1.7757014030165736
1.736248,1.7887186132455013
1.479681,1.7933682327513432
1.827814,1.8243790069635697
1.581084,1.8217017164762495
1.544505,1.7839432780949487
2.238985,1.781879844340922
1.517159,1.7814885694595262
2.063466,1.7894435578909693
1.811054,1.8267506768676816
2.189334,1.8191584225699224
2.051781,1.789849714134656
1.405552,1.787038410111716
1.815307,1.7742215844788771
1.392727,1.7879638258885198
1.831427,1.8262903211937034
2.112334,1.8159462745162824
1.440176,1.7978671011163407
1.543455,1.7903800146422166
1.768166,1.76832049252693
1.839348,1.7882655552750069
1.364644,1.8226617668643685
1.396346,1.8132797655389044
1.439383,1.806822625468897
1.485748,1.7917376620307839
1.380695,1.7649490150649059
1.970941,1.7892821776178374
1.368353,1.816218581384427
1.573135,1.8120281016883424
1.755947,1.8153032434462064
2.11202,1.7915744984653772
1.663707,1.7647525797228778
