Test Traffic (packets),Predicted Trafic (packets)
1982,2391.61386881941
2861,2398.712555029788
2716,2401.8829182454597
2124,2398.807545239967
1867,2399.1126664161316
2963,2399.277250000001
2788,2399.277250000001
2340,2399.277250000001
2915,2399.277250000001
2723,2399.277250000001
2275,2399.277250000001
2303,2399.277250000001
2632,2399.277250000001
2040,2399.277250000001
2230,2399.277250000001
1939,2399.277250000001
2972,2399.277250000001
1970,2399.277250000001
1819,2399.277250000001
2918,2399.277250000001
2294,2399.277250000001
1887,2399.277250000001
2034,2399.277250000001
1859,2399.277250000001
2574,2399.277250000001
2776,2399.277250000001
2571,2399.277250000001
1843,2399.277250000001
2653,2399.277250000001
2863,2399.277250000001
2948,2399.277250000001
2550,2399.277250000001
1913,2399.277250000001
2546,2399.277250000001
2790,2399.277250000001
2343,2399.277250000001
1908,2399.277250000001
2043,2399.277250000001
2482,2399.277250000001
2213,2399.277250000001
1894,2399.277250000001
1888,2399.277250000001
2251,2399.277250000001
2806,2399.277250000001
2589,2399.277250000001
2435,2399.277250000001
2346,2399.277250000001
2926,2399.277250000001
2513,2399.277250000001
1801,2399.277250000001
2089,2399.277250000001
1968,2399.277250000001
2007,2399.277250000001
2962,2399.277250000001
2372,2399.277250000001
2963,2399.277250000001
2337,2399.277250000001
2265,2399.277250000001
2982,2399.277250000001
2784,2399.277250000001
