Test Traffic (packets),Predicted Trafic (packets)
10,480.7568624897284
906,836.0067457610631
2402,1370.5244161238347
3000,1835.9117399762677
3000,1980.0946125337366
3000,1760.3775837717692
2402,1344.1211235873861
1803,846.1102890401536
608,333.50025837100617
309,16.332945748667726
10,52.53700437772716
906,483.2453658037562
1803,1136.320198348687
3000,1669.0111450703166
3000,1840.2872756497125
3000,1677.2434417838642
2402,1283.3518609580183
906,787.3276445306833
906,306.8985128601295
10,-7.312017253841304
10,27.55085700970642
10,477.21520521311214
906,1126.7107936122716
2102,1656.2073181230548
2102,1841.585049234686
2102,1672.3582121424201
1505,1277.8534976463027
309,789.8822983420607
10,303.45382390419206
10,-10.54033566831788
10,31.236568838000835
10,474.6069250692632
906,1125.35999748661
1206,1658.199404721815
1206,1839.4671612930003
1206,1672.1218511920395
906,1280.2182966709395
309,787.5855887165151
10,303.38236038543687
10,-9.361701372765765
10,30.150488748530847
1206,475.1446414548761
3000,1126.1525163150623
3000,1656.388235132355
3000,1840.1132212426342
3000,1672.8428380716805
3000,1279.5868481485022
2102,787.8694836669072
906,303.35389556477617
309,-10.223707159242167
10,31.18371719866468
906,475.34572128215365
1803,1125.5092937075249
2701,1656.4123607178212
3000,1840.0878175255414
2701,1672.7531511561424
1803,1280.3345150102673
906,787.4640059959368
608,302.8445875384117
10,-9.97085924807061
