Time Scale; Number of Packets; Total data; 
1; 2436215; 1828286874.000000; 
2; 468671; 352178300.000000; 
3; 511972; 384164454.000000; 
4; 411590; 308656798.000000; 
5; 469787; 352656499.000000; 
6; 539359; 405446800.000000; 
7; 423989; 318791600.000000; 
8; 556009; 417739188.000000; 
9; 533829; 399704820.000000; 
10; 411332; 308900516.000000; 
11; 571026; 428318758.000000; 
12; 554784; 416930737.000000; 
13; 461742; 347027786.000000; 
14; 516269; 387642236.000000; 
15; 528840; 397282525.000000; 
16; 449851; 337298057.000000; 
17; 565766; 425976646.000000; 
18; 531215; 398601172.000000; 
19; 492283; 369390238.000000; 
20; 553858; 415629837.000000; 
21; 501718; 376929249.000000; 
22; 506140; 378842036.000000; 
23; 557447; 418561688.000000; 
24; 465727; 349613636.000000; 
25; 558884; 419380474.000000; 
26; 563755; 423567844.000000; 
27; 422854; 316818531.000000; 
28; 563348; 422573478.000000; 
29; 585846; 439728017.000000; 
30; 455564; 341476538.000000; 
31; 555405; 416945088.000000; 
32; 556842; 417910959.000000; 
33; 441733; 331539377.000000; 
34; 559525; 419132336.000000; 
35; 560157; 420507322.000000; 
36; 484297; 363815201.000000; 
37; 577810; 434418651.000000; 
38; 515984; 387665790.000000; 
39; 456623; 342784993.000000; 
40; 580099; 436176466.000000; 
41; 492563; 370497440.000000; 
42; 470145; 352218279.000000; 
43; 575505; 432963821.000000; 
44; 487626; 365883977.000000; 
45; 553032; 414956403.000000; 
46; 558912; 420287593.000000; 
47; 470322; 352796716.000000; 
48; 518146; 388540282.000000; 
49; 572744; 430839224.000000; 
50; 458690; 344041146.000000; 
51; 559892; 420478536.000000; 
52; 561807; 421240097.000000; 
53; 447776; 335321683.000000; 
54; 595501; 446050450.000000; 
55; 555429; 415843819.000000; 
56; 434552; 326301619.000000; 
57; 550393; 412516306.000000; 
58; 504691; 378841111.000000; 
59; 186772; 139951318.000000; 
60; 519571; 390503714.000000; 
61; 409069; 307348928.000000; 
62; 399973; 299869703.000000; 
63; 610658; 458946236.000000; 
64; 402809; 302021271.000000; 
65; 576139; 432831180.000000; 
66; 516245; 388324493.000000; 
67; 453164; 339695836.000000; 
68; 552186; 414318258.000000; 
69; 551891; 414668172.000000; 
70; 452502; 339504815.000000; 
71; 565586; 424475165.000000; 
72; 553631; 415090420.000000; 
73; 475754; 357292180.000000; 
74; 505844; 380197205.000000; 
75; 522501; 391346421.000000; 
76; 511623; 384291292.000000; 
77; 577103; 433698954.000000; 
78; 490597; 368205130.000000; 
79; 500879; 375762760.000000; 
80; 564989; 424761330.000000; 
81; 396094; 297139561.000000; 
82; 87111; 64963497.000000; 
83; 433257; 325107147.000000; 
84; 507340; 380789243.000000; 
85; 542138; 406877558.000000; 
86; 451164; 337634144.000000; 
87; 539324; 405703043.000000; 
88; 547442; 411522240.000000; 
89; 425622; 318421357.000000; 
90; 541425; 406191558.000000; 
91; 560511; 420985766.000000; 
92; 428713; 321808397.000000; 
93; 534382; 400566827.000000; 
94; 527703; 396138272.000000; 
95; 468233; 351132601.000000; 
96; 550326; 413384259.000000; 
97; 473192; 354692381.000000; 
98; 498689; 374022068.000000; 
99; 546734; 409592963.000000; 
100; 449457; 336933198.000000; 
101; 528337; 397145900.000000; 
102; 586952; 440605050.000000; 
103; 447322; 335524815.000000; 
104; 518068; 389865558.000000; 
105; 534914; 401104398.000000; 
106; 350264; 263368822.000000; 
107; 504373; 378211513.000000; 
108; 457572; 343022594.000000; 
109; 433669; 325432134.000000; 
110; 570196; 427817714.000000; 
111; 514798; 386653339.000000; 
112; 527517; 395881245.000000; 
113; 524968; 394507439.000000; 
114; 460127; 344969297.000000; 
115; 516670; 388205142.000000; 
116; 525197; 394451008.000000; 
117; 491199; 368775080.000000; 
118; 512154; 384342435.000000; 
119; 508291; 381606566.000000; 
120; 442538; 332167593.000000; 
121; 523354; 392725940.000000; 
122; 566264; 424342974.000000; 
123; 436421; 327556657.000000; 
124; 576610; 432914561.000000; 
125; 505299; 379624224.000000; 
126; 438280; 328986446.000000; 
127; 612359; 459953225.000000; 
128; 539648; 404948937.000000; 
129; 443231; 333129246.000000; 
130; 527660; 396169626.000000; 
131; 480859; 360527286.000000; 
132; 482659; 362357888.000000; 
133; 544578; 409037033.000000; 
134; 497652; 373596839.000000; 
135; 530440; 397953834.000000; 
136; 532480; 400230030.000000; 
137; 469032; 352262707.000000; 
138; 490652; 368796021.000000; 
139; 576617; 432830704.000000; 
140; 420796; 316624764.000000; 
141; 561491; 421572556.000000; 
142; 558955; 418619905.000000; 
143; 442046; 332123130.000000; 
144; 525340; 394128237.000000; 
145; 565948; 424940312.000000; 
146; 436656; 327433363.000000; 
147; 558803; 419739366.000000; 
148; 537500; 404026448.000000; 
149; 434895; 326633513.000000; 
150; 557474; 418928180.000000; 
151; 545129; 409159695.000000; 
152; 456724; 342897490.000000; 
153; 556691; 418063743.000000; 
154; 484621; 363568433.000000; 
155; 498835; 374438791.000000; 
156; 555430; 417192042.000000; 
157; 504529; 378890344.000000; 
158; 471116; 354346817.000000; 
159; 580431; 435094668.000000; 
160; 496108; 372565178.000000; 
161; 503745; 377358128.000000; 
162; 596050; 447946483.000000; 
163; 443901; 333910814.000000; 
164; 514680; 386683167.000000; 
165; 532150; 399562417.000000; 
166; 420579; 315730266.000000; 
167; 532294; 399925016.000000; 
168; 525807; 395212033.000000; 
169; 432031; 323710065.000000; 
170; 558692; 420095551.000000; 
171; 539970; 405637731.000000; 
172; 452381; 339752124.000000; 
173; 546415; 409810555.000000; 
174; 504355; 379098995.000000; 
175; 496104; 372827487.000000; 
176; 547895; 410832638.000000; 
177; 435643; 326633653.000000; 
178; 522801; 392742526.000000; 
179; 594915; 446630591.000000; 
180; 456032; 342108922.000000; 
181; 508087; 381168181.000000; 
182; 510384; 382746027.000000; 
183; 416977; 313380429.000000; 
184; 565212; 423568351.000000; 
185; 517446; 388203224.000000; 
186; 451213; 339001434.000000; 
187; 561435; 421509369.000000; 
188; 539360; 405539220.000000; 
189; 462556; 347213097.000000; 
190; 559920; 420212064.000000; 
191; 479911; 360060574.000000; 
192; 491760; 368675192.000000; 
193; 556514; 417672445.000000; 
194; 481754; 361171074.000000; 
195; 534478; 401473030.000000; 
196; 570120; 428482267.000000; 
197; 490897; 368069625.000000; 
198; 542284; 407258824.000000; 
199; 585792; 440369281.000000; 
200; 454728; 341265421.000000; 
201; 609595; 457378312.000000; 
202; 631603; 474265818.000000; 
203; 472050; 354496504.000000; 
204; 605646; 455519919.000000; 
205; 624423; 468163623.000000; 
206; 498299; 374211328.000000; 
207; 626184; 470683911.000000; 
208; 633035; 475238346.000000; 
209; 458711; 344924707.000000; 
210; 625536; 469128892.000000; 
211; 633386; 475182552.000000; 
212; 472063; 354489484.000000; 
213; 651113; 488926922.000000; 
214; 610327; 458659848.000000; 
215; 487915; 366176104.000000; 
216; 619881; 464257695.000000; 
217; 626684; 469956948.000000; 
218; 512884; 386220706.000000; 
219; 621438; 466813609.000000; 
220; 658902; 494309909.000000; 
221; 465858; 348995971.000000; 
222; 668752; 502588054.000000; 
223; 636007; 476486735.000000; 
224; 508177; 381606023.000000; 
225; 624636; 469093089.000000; 
226; 623269; 467774156.000000; 
227; 440871; 330960129.000000; 
228; 598675; 448967426.000000; 
229; 590863; 443601476.000000; 
230; 462918; 346977503.000000; 
231; 587629; 441498721.000000; 
232; 587175; 441400116.000000; 
233; 476122; 357481734.000000; 
234; 596990; 447618215.000000; 
235; 668281; 501987528.000000; 
236; 448050; 336096193.000000; 
237; 653514; 490946992.000000; 
238; 591371; 443230229.000000; 
239; 476854; 358040504.000000; 
240; 591691; 444560330.000000; 
241; 587888; 441299345.000000; 
242; 488486; 365639478.000000; 
243; 618869; 464757897.000000; 
244; 598190; 449305061.000000; 
245; 450049; 337119390.000000; 
246; 648558; 486805459.000000; 
247; 598950; 448606929.000000; 
248; 487283; 365438430.000000; 
249; 624424; 468000768.000000; 
250; 588422; 441126375.000000; 
251; 494603; 371347959.000000; 
